base,modelo,feature,nativa,permutation,permutation_std,tipo,disponibilidade,coef_padronizado,vip
delhi_temperatura,Random Forest,lag_7,0.15723042774282253,0.06353205405927087,0.024792579418465275,interna,-,,
delhi_temperatura,Random Forest,lag_8,0.18307200726369185,0.0966877093413652,0.03261597143138653,interna,-,,
delhi_temperatura,Random Forest,lag_9,0.10121812419883669,-0.026264289505848935,0.014491705378935097,interna,-,,
delhi_temperatura,Random Forest,lag_10,0.05530500124751092,-0.013898704910445803,0.0142053968542383,interna,-,,
delhi_temperatura,Random Forest,lag_30,0.006273657838223235,0.003598047144974159,0.010372890920395682,interna,-,,
delhi_temperatura,Random Forest,lag_37,0.007716932937491023,-0.006977441943524676,0.008608234347744294,interna,-,,
delhi_temperatura,Random Forest,media_4,0.12289275390227426,0.08316725621976877,0.030574154189876638,interna,-,,
delhi_temperatura,Random Forest,desvio_4,0.0019283567182914148,-0.0002981464703677439,0.0037529345910631245,interna,-,,
delhi_temperatura,Random Forest,media_8,0.12269713915221822,0.050443552103756215,0.029367530585917064,interna,-,,
delhi_temperatura,Random Forest,desvio_8,0.00250354039495427,0.0006790862053165147,0.005134022122209348,interna,-,,
delhi_temperatura,Random Forest,media_12,0.08847209859822984,0.03948896639826396,0.025915009559858065,interna,-,,
delhi_temperatura,Random Forest,desvio_12,0.0028837246857463406,0.0012150226652783759,0.003781461984769089,interna,-,,
delhi_temperatura,Random Forest,delta_nivel,0.0017224283537251319,0.0023977980767405428,0.004293449154140822,interna,-,,
delhi_temperatura,Random Forest,mes,0.005659939458708003,0.02359870368899313,0.007874613602086659,interna,-,,
delhi_temperatura,Random Forest,dia_semana,0.0003954870563785776,0.0009687506371670596,0.0021007554188944223,interna,-,,
delhi_temperatura,Random Forest,semana,0.019740048341011434,0.08653531623099942,0.02254997605062998,interna,-,,
delhi_temperatura,Random Forest,mes_sin,0.00502236014311033,-0.006521117058348946,0.010455997669747471,interna,-,,
delhi_temperatura,Random Forest,mes_cos,0.017503879786254038,0.010725210545311526,0.018368489767160264,interna,-,,
delhi_temperatura,Random Forest,dia_semana_sin,0.00048125774191893017,0.0010990162407487735,0.0025791174275010087,interna,-,,
delhi_temperatura,Random Forest,dia_semana_cos,0.00030881990463502596,0.0011528974169209283,0.0008520616048888976,interna,-,,
delhi_temperatura,Random Forest,semana_sin,0.015044802110570845,-0.00423984256995622,0.015443892194825054,interna,-,,
delhi_temperatura,Random Forest,semana_cos,0.06564658095467747,0.17572981680101898,0.024885390717144167,interna,-,,
delhi_temperatura,Random Forest,humidity_lag_7,0.005272646042929169,0.0021313085210429737,0.003576298768807907,externa,defasada,,
delhi_temperatura,Random Forest,wind_speed_lag_7,0.001690549526997527,0.012192483636621333,0.004635117585868879,externa,defasada,,
delhi_temperatura,Random Forest,meanpressure_lag_7,0.009317435898792957,0.019151741413917178,0.009216808407975658,externa,defasada,,
delhi_temperatura,PLS,lag_7,,0.060676415149465555,0.024252376467887193,interna,-,0.6788076378152323,1.4323260627854446
delhi_temperatura,PLS,lag_8,,0.044792881417637,0.019665720700350588,interna,-,0.6298971161646204,1.423620514588759
delhi_temperatura,PLS,lag_9,,0.04155026021469639,0.02310489883625006,interna,-,0.6089382031158865,1.4164341716666802
delhi_temperatura,PLS,lag_10,,0.03654786173352544,0.02303185934576606,interna,-,0.6205050400887394,1.4105198478442746
delhi_temperatura,PLS,lag_30,,0.023157714020314968,0.01358376508727685,interna,-,0.44021259409232294,1.2163403015544003
delhi_temperatura,PLS,lag_37,,-0.0015431627076264664,0.01310462738204404,interna,-,0.34110314072717945,1.120575681947153
delhi_temperatura,PLS,media_4,,0.045832496372218756,0.02249731113530386,interna,-,0.6428479936573449,1.439235428629528
delhi_temperatura,PLS,desvio_4,,-0.009213393270906556,0.0075478121478072,interna,-,-0.11048048810824362,0.27741221341549327
delhi_temperatura,PLS,media_8,,0.048927006430314536,0.024325906880490574,interna,-,0.6664568000805323,1.4370097126120105
delhi_temperatura,PLS,desvio_8,,0.014968608411496432,0.017532095455262662,interna,-,-0.2566486276438606,0.36565997305267495
delhi_temperatura,PLS,media_12,,0.05230125362536007,0.02620782887018173,interna,-,0.6721159416554487,1.4287612918277905
delhi_temperatura,PLS,desvio_12,,0.04366225659090852,0.01914235905644094,interna,-,-0.31983165797340185,0.3712458786103008
