params,aic,bic
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 1, 30)}",2185.3706320111214,2219.8909346503174
"{'order': (2, 0, 1), 'seasonal_order': (1, 0, 0, 30)}",2185.8348745457674,2220.362009786775
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 1, 30)}",2190.96219867445,2220.562736828834
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 1, 30)}",2186.4539527748257,2220.9810880158334
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 0, 30)}",2187.619227442687,2222.153188622802
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 1, 30)}",2189.4720534248713,2223.9923560640673
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 1, 30)}",2190.865923814288,2225.393059055296
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 1, 30)}",2191.149619662654,2225.6767549036617
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 1, 30)}",2186.9772743165804,2226.429048761376
"{'order': (2, 0, 2), 'seasonal_order': (1, 0, 0, 30)}",2188.17652683359,2227.63610996617
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 1, 30)}",2191.55326010178,2231.0050345465756
"{'order': (2, 0, 1), 'seasonal_order': (1, 0, 1, 30)}",2192.6319230358577,2232.0915061684377
"{'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 30)}",2193.1454728614012,2237.5287191117964
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 0, 30)}",2234.0651919672796,2253.9103761509205
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 30)}",2235.174254628802,2255.0232284858666
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 0, 30)}",2234.678483012325,2259.480221657832
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 0, 30)}",2235.8006495498935,2260.607129779444
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 0, 30)}",2236.347239466528,2261.153719696079
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 0, 30)}",2236.7022302477403,2266.464316622348
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 0, 30)}",2237.7562245637237,2267.5240008391847
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 30)}",2238.5146760041516,2273.2371101078606
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 2, 30)}",2369.615233406863,2399.0256566468024
