params,aic,bic
"{'order': (2, 0, 1), 'seasonal_order': (2, 0, 1, 4)}",352.1884452493491,371.8953379275869
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 2, 4)}",356.835187070418,372.05589795968746
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 1, 4)}",354.42236980504737,372.0599107601751
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 2, 4)}",354.76266781031757,372.279905746529
"{'order': (2, 0, 1), 'seasonal_order': (2, 0, 2, 4)}",350.39963917653563,372.2961865967999
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 1, 4)}",355.2290407776491,372.98510241905797
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 0, 4)}",360.63951844152956,374.0441574691131
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",356.5258501575357,374.2819117989445
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 1, 4)}",358.7296659324045,374.3684114645853
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 2, 4)}",361.4234631599284,374.561391612087
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",358.9821081286527,374.6208536608335
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",359.2770843307856,374.9158298629664
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",361.7729646001241,375.17760362770764
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 2, 4)}",358.18497129998593,375.58006945915105
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 1, 4)}",360.1452167709674,375.68177070720014
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 2, 4)}",358.7238644856404,376.1189626448055
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",362.8314825439746,376.3224539962707
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 2, 4)}",363.5678823062581,376.7960380226039
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 1, 4)}",357.21592152757336,377.1914908741583
"{'order': (0, 0, 1), 'seasonal_order': (1, 0, 2, 4)}",361.9096754913193,377.2372586855043
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 1, 4)}",362.1606056962018,377.7993512283826
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 2, 4)}",362.7187614071161,378.0463446013011
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 0, 4)}",362.344979145202,378.0844458395475
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 0, 4)}",360.263068047101,378.13592008387906
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 1, 4)}",364.7216405832891,378.21261203558527
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",360.3762706663094,378.24912270308744
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 0, 4)}",364.8110307313368,378.3871099935847
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 1, 4)}",369.6745538365496,378.668534804747
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 2, 4)}",359.8479532494612,379.417438678522
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 2, 4)}",364.06273555228057,379.49558388801734
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 2, 4)}",360.12908429018296,379.69856971924366
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",368.7631365361645,380.0765359213711
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 0, 4)}",369.00828730789436,380.1058258337749
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 0, 4)}",368.7598644334215,380.1431950285018
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 1, 4)}",367.6362364918527,380.9532827229093
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 0, 4)}",369.8789718807604,381.1214480910072
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 2, 4)}",363.72857699997604,381.24581493618746
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 1, 4)}",370.1005160734382,381.342992283685
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 1, 4)}",367.87992988388453,381.45600914613243
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 1, 4)}",370.3115597950328,381.5540360052796
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 2, 4)}",360.852243725654,382.59611642461033
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 0, 4)}",373.6868652584475,382.73758476661277
"{'order': (2, 0, 2), 'seasonal_order': (1, 0, 2, 4)}",361.66808208461805,383.4119547835744
"{'order': (1, 0, 1), 'seasonal_order': (2, 0, 0, 4)}",368.5428919593004,383.97574029503716
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",374.8279611465904,383.9897989111839
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 0, 4)}",370.75624253244575,384.4162392465421
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 1, 4)}",371.1168988919561,384.60787034425226
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 0, 4)}",369.3593739597299,384.6869571539149
"{'order': (2, 0, 2), 'seasonal_order': (2, 0, 0, 4)}",365.3113808319062,385.018273510144
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 0, 4)}",371.95332217299847,385.2703684040551
"{'order': (2, 0, 1), 'seasonal_order': (1, 0, 1, 4)}",367.67836960384585,385.6663315402407
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",374.2990908720603,385.75138807780223
"{'order': (2, 0, 2), 'seasonal_order': (2, 0, 2, 4)}",362.4482339414399,386.3664939102919
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 0, 4)}",375.2951395023314,386.74743670807334
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 0, 4)}",369.92681012220464,387.5643510773324
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 0, 4)}",372.2075702385449,388.1442330716573
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",374.69470605184495,388.4374626987353
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 0, 4)}",373.1640751647921,388.70062910102484
