params,aic,bic,mae_validacao,bic_norm,mae_norm,criterio,valor,base,modelo
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.7373189491139183,delhi_temperatura,Random Forest
"{'n_estimators': 300, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.7413722593261696,delhi_temperatura,Random Forest
{'n_components': 15},,,,,,MAE validacao,1.923450877638855,delhi_temperatura,PLS
{'n_components': 14},,,,,,MAE validacao,1.9276227946846223,delhi_temperatura,PLS
{'n_components': 13},,,,,,MAE validacao,1.9315737532915163,delhi_temperatura,PLS
{'n_components': 12},,,,,,MAE validacao,1.940573705374827,delhi_temperatura,PLS
{'n_components': 10},,,,,,MAE validacao,1.9604840476604581,delhi_temperatura,PLS
{'n_components': 9},,,,,,MAE validacao,1.9624967459579763,delhi_temperatura,PLS
{'n_components': 11},,,,,,MAE validacao,1.9651769774851497,delhi_temperatura,PLS
{'n_components': 8},,,,,,MAE validacao,1.9704503365155537,delhi_temperatura,PLS
{'n_components': 7},,,,,,MAE validacao,1.9903748938246826,delhi_temperatura,PLS
{'n_components': 5},,,,,,MAE validacao,2.031311508832512,delhi_temperatura,PLS
{'n_components': 6},,,,,,MAE validacao,2.0332814110103636,delhi_temperatura,PLS
{'n_components': 4},,,,,,MAE validacao,2.049054216936814,delhi_temperatura,PLS
{'n_components': 3},,,,,,MAE validacao,2.073528582012517,delhi_temperatura,PLS
{'n_components': 2},,,,,,MAE validacao,2.142920059787873,delhi_temperatura,PLS
{'n_components': 1},,,,,,MAE validacao,2.2398727985968785,delhi_temperatura,PLS
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 0, 0)}",722.1625480208036,749.4753523774896,inf,0.0,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 0, 0)}",722.4556398138288,749.7678579610905,inf,8.056020345614241e-05,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 0, 0)}",724.0165580413891,758.1568307254662,inf,0.0023910027747274546,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 0, 0)}",724.2051886118338,758.3454612959109,inf,0.002442954320219345,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 0, 0)}",724.8711523158786,759.0106921307715,inf,0.002626168366057136,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 0)}",726.270024630448,767.2383518513406,inf,0.004892183027716558,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
