Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-12-30 00:00:00-05:00,1.5182675123214722,1.5657131854339617,1.4708212962342728,1.5182675123214722,86850,0.0,0.0
1987-12-31 00:00:00-05:00,1.5182675123214722,1.5182675123214722,1.4233756231217833,1.5182675123214722,97350,0.0,0.0
1988-01-04 00:00:00-05:00,1.5657128466782873,1.6606047153472898,1.5657128466782873,1.66060471534729,25650,0.0,0.0
1988-01-05 00:00:00-05:00,1.6606045874879674,1.7554959058761597,1.613158385319321,1.7554959058761597,72600,0.0,0.0
1988-01-06 00:00:00-05:00,1.7554950526767923,1.7554950526767923,1.7080494165420532,1.7080494165420532,10050,0.0,0.0
1988-01-07 00:00:00-05:00,1.7080494165420532,1.7554950526767923,1.660603780407314,1.7080494165420532,44100,0.0,0.0
1988-01-08 00:00:00-05:00,1.7080503781944951,1.7554960410417004,1.6606047153472898,1.66060471534729,22500,0.0,0.0
1988-01-11 00:00:00-05:00,1.6131577343551065,1.6131577343551065,1.5182664542587851,1.5657120943069458,47250,0.0,0.0
1988-01-12 00:00:00-05:00,1.5657131854339617,1.6131588585464514,1.4708212962342728,1.5182675123214722,47400,0.0,0.0
1988-01-13 00:00:00-05:00,1.5182664682078886,1.6131577491760254,1.5182664682078886,1.6131577491760254,31950,0.0,0.0
1988-01-14 00:00:00-05:00,1.6131577491760254,1.6131577491760254,1.565712108691957,1.6131577491760254,10050,0.0,0.0
1988-01-15 00:00:00-05:00,1.6606045874879674,1.7554959058761597,1.613158385319321,1.7554959058761597,33900,0.0,0.0
1988-01-18 00:00:00-05:00,1.7554959058761597,1.7554959058761597,1.7080502466820635,1.7554959058761597,15900,0.0,0.0
1988-01-19 00:00:00-05:00,1.7554959058761597,1.802942108044806,1.7080502466820635,1.7554959058761597,19650,0.0,0.0
1988-01-20 00:00:00-05:00,1.7554959058761597,1.7554959058761597,1.7080502466820635,1.7554959058761597,10650,0.0,0.0
1988-01-21 00:00:00-05:00,1.7554950526767923,1.7554950526767923,1.7080494165420532,1.7080494165420532,18300,0.0,0.0
1988-01-22 00:00:00-05:00,1.7554959058761597,1.7554959058761597,1.7080502466820635,1.7554959058761597,16950,0.0,0.0
1988-01-25 00:00:00-05:00,1.7554959058761597,1.7554959058761597,1.7080502466820635,1.7554959058761597,12750,0.0,0.0
1988-01-26 00:00:00-05:00,1.7554960410417004,1.7554960410417004,1.6131585095254923,1.66060471534729,43950,0.0,0.0
1988-01-27 00:00:00-05:00,1.6131577491760254,1.6131577491760254,1.565712108691957,1.6131577491760254,8700,0.0,0.0
1988-01-28 00:00:00-05:00,1.6131585095254923,1.6606047153472898,1.5657128466782873,1.66060471534729,14400,0.0,0.0
1988-01-29 00:00:00-05:00,1.7080494165420532,1.7080494165420532,1.7080494165420532,1.7080494165420532,4200,0.0,0.0
